UFC_Number,PPV,date,fighter_1,fighter_2
33,75000,2001-09-28,Matyushenko,Ortiz
34,65000,2001-11-02,Couture,Rizzo
35,35000,2002-01-11,Penn,Pulver
36,55000,2002-03-22,Barnett,Couture
37,50000,2002-05-10,Bustamante,Lindland
38,45000,2002-07-13,Hughes,Newton
39,45000,2002-09-27,Couture,Rodriguez
40,100000,2002-11-22,Ortiz,Shamrock
41,60000,2003-02-28,Rodriguez,Sylvia
42,35000,2003-04-25,Hughes,Sherk
43,49000,2003-06-06,Couture,Liddell
44,94000,2003-09-26,Couture,Ortiz
45,40000,2003-11-21,Hughes,Trigg
46,80000,2004-01-31,Belfort,Couture
47,105000,2004-04-02,Liddell,Ortiz
48,110000,2004-06-19,Leopoldo,Shamrock
49,80000,2004-08-21,Belfort,Couture
50,40000,2004-10-22,Cote,Ortiz
51,105000,2005-02-05,Belfort,Ortiz
52,280000,2005-04-16,Couture,Liddell
53,90000,2005-06-04,Arlovski,Eilers
54,150000,2005-08-20,Horn,Liddell
55,125000,2005-10-07,Arlovski,Buentello
56,200000,2005-11-19,Franklin,Quarry
57,400000,2006-02-04,Couture,Liddell
58,300000,2006-03-04,Franklin,Loiseau
59,425000,2006-04-15,Griffin,Ortiz
60,620000,2006-05-27,Gracie,Hughes
61,775000,2006-07-08,Ortiz,Shamrock
62,500000,2006-08-26,Liddell,Sobral
63,400000,2006-09-23,Hughes,Penn
64,300000,2006-10-14,Franklin,Silva
65,500000,2006-11-18,Hughes,St-Pierre
66,1050000,2006-12-30,Liddell,Ortiz
67,400000,2007-02-03,Lutter,Silva
68,540000,2007-03-03,Couture,Sylvia
69,400000,2007-04-07,Serra,St-Pierre
71,675000,2007-05-26,Jackson,Liddell
72,200000,2007-06-16,Franklin,Okami
73,425000,2007-07-07,Evans,Ortiz
74,520000,2007-08-25,Couture,Gonzaga
76,475000,2007-09-22,Jardine,Liddell
77,325000,2007-10-20,Franklin,Silva
78,325000,2007-11-17,Bisping,Evans
79,650000,2007-12-29,Hughes,St-Pierre
80,225000,2008-01-19,Penn,Stevenson
81,600000,2008-02-02,Nogueira,Sylvia
82,325000,2008-03-01,Henderson,Silva
83,530000,2008-04-19,Serra,St-Pierre
84,475000,2008-05-24,Penn,Sherk
85,215000,2008-06-07,Alves,Hughes
86,540000,2008-07-05,Griffin,Jackson
87,625000,2008-08-09,Fitch,St-Pierre
88,480000,2008-09-06,Evans,Liddell
90,300000,2008-10-25,Cote,Silva
91,1010000,2008-11-15,Couture,Lesnar
92,1000000,2008-12-27,Evans,Griffin
93,350000,2009-01-17,Franklin,Henderson
94,920000,2009-01-31,Penn,St-Pierre
96,350000,2009-03-07,Jackson,Jardine
97,650000,2009-04-18,Leites,Silva
98,635000,2009-05-23,Evans,Machida
99,360000,2009-06-13,Franklin,Silva
100,1600000,2009-07-11,Lesnar,Mir
101,850000,2009-08-08,Florian,Penn
102,435000,2009-08-29,Couture,Nogueira
103,375000,2009-09-19,Belfort,Franklin
104,500000,2009-10-24,Machida,Rua
106,375000,2009-11-21,Griffin,Ortiz
107,620000,2009-12-12,Penn,Sanchez
108,300000,2010-01-02,Evans,Silva
109,275000,2010-02-06,Coleman,Couture
110,240000,2010-02-20,Nogueira,Velasquez
111,770000,2010-03-27,Hardy,St-Pierre
112,500000,2010-04-10,Maia,Silva
113,520000,2010-05-08,Machida,Rua
114,1000000,2010-05-29,Evans,Jackson
115,525000,2010-06-12,Franklin,Liddell
116,1060000,2010-07-03,Carwin,Lesnar
117,600000,2010-08-07,Silva,Sonnen
118,535000,2010-08-28,Edgar,Penn
119,295000,2010-09-25,Filipovic,Mir
121,900000,2010-10-23,Lesnar,Velasquez
123,500000,2010-11-20,Jackson,Machida
124,785000,2010-12-11,Koscheck,St-Pierre
125,260000,2011-01-01,Edgar,Maynard
126,725000,2011-02-05,Belfort,Silva
127,260000,2011-02-26,Fitch,Penn
128,490000,2011-03-19,Jones,Rua
129,800000,2011-04-30,Shields,St-Pierre
130,325000,2011-05-28,Hamill,Jackson
131,330000,2011-06-11,Carwin,Santos
132,320000,2011-07-02,Cruz,Faber
133,310000,2011-08-06,Evans,Ortiz
134,335000,2011-08-27,Okami,Silva
135,520000,2011-09-24,Jackson,Jones
136,225000,2011-10-08,Edgar,Maynard
137,280000,2011-10-29,Diaz,Penn
139,290000,2011-11-19,Henderson,Rua
140,480000,2011-12-10,Jones,Machida
141,535000,2011-12-30,Lesnar,Overeem
142,215000,2012-01-14,Aldo,Mendes
143,400000,2012-02-04,Condit,Diaz
144,325000,2012-02-25,Edgar,Henderson
145,700000,2012-04-21,Evans,Jones
146,560000,2012-05-26,Mir,Santos
147,140000,2012-06-23,Franklin,Silva
148,925000,2012-07-07,Silva,Sonnen
149,230000,2012-07-21,Barao,Faber
150,190000,2012-08-11,Edgar,Henderson
152,450000,2012-09-22,Belfort,Jones
153,410000,2012-10-13,Bonnar,Silva
154,700000,2012-11-17,Condit,St-Pierre
155,590000,2012-12-29,Santos,Velasquez
156,330000,2013-02-02,Aldo,Edgar
157,450000,2013-02-23,Carmouche,Rousey
158,950000,2013-03-16,Diaz,St-Pierre
159,530000,2013-04-27,Jones,Sonnen
160,380000,2013-05-25,Santos,Velasquez
161,140000,2013-06-15,Evans,Henderson
162,550000,2013-07-06,Silva,Weidman
163,180000,2013-08-03,Aldo,Jung
164,270000,2013-08-31,Henderson,Pettis
165,310000,2013-09-21,Gustafsson,Jones
166,330000,2013-10-19,Santos,Velasquez
167,630000,2013-11-16,Hendricks,St-Pierre
168,1025000,2013-12-28,Silva,Weidman
169,230000,2014-02-01,Barao,Faber
170,350000,2014-02-22,McMann,Rousey
171,300000,2014-03-15,Hendricks,Lawler
172,350000,2014-04-26,Jones,Teixeira
173,215000,2014-05-24,Barao,Dillashaw
174,115000,2014-06-14,Bagautinov,Johnson
175,545000,2014-07-05,Machida,Weidman
177,125000,2014-08-30,Dillashaw,Soto
178,205000,2014-09-27,Cariaso,Johnson
179,180000,2014-10-25,Aldo,Mendes
180,185000,2014-11-15,Hunt,Werdum
181,400000,2014-12-06,Hendricks,Lawler
182,800000,2015-01-03,Cormier,Jones
183,650000,2015-01-31,Diaz,Silva
184,600000,2015-02-28,Rousey,Zingano
185,310000,2015-03-14,Anjos,Pettis
186,125000,2015-04-25,Horiguchi,Johnson
187,375000,2015-05-23,Cormier,Johnson
188,300000,2015-06-13,Velasquez,Werdum
189,825000,2015-07-11,McGregor,Mendes
190,900000,2015-08-01,Correia,Rousey
191,115000,2015-09-05,Dodson,Johnson
192,250000,2015-10-03,Cormier,Gustafsson
193,1100000,2015-11-14,Holm,Rousey
194,1025000,2015-12-12,Aldo,McGregor
195,300000,2016-01-02,Condit,Lawler
196,1317000,2016-03-05,Diaz,McGregor
197,322000,2016-04-23,Jones,Preux
198,217000,2016-05-14,Miocic,Werdum
199,320000,2016-06-04,Bisping,Rockhold
200,1009000,2016-07-09,Nunes,Tate
201,240000,2016-07-30,Lawler,Woodley
202,1650000,2016-08-20,Diaz,McGregor
203,450000,2016-09-10,Miocic,Overeem
204,290000,2016-10-08,Bisping,Henderson
205,1300000,2016-11-12,Alvarez,McGregor
206,150000,2016-12-10,Holloway,Pettis
207,1100000,2016-12-30,Nunes,Rousey
208,200000,2017-02-11,Holm,Randamie
209,300000,2017-03-04,Thompson,Woodley
210,300000,2017-04-08,Cormier,Johnson
211,300000,2017-05-13,Miocic,Santos
212,200000,2017-06-03,Aldo,Holloway
213,130000,2017-07-08,Romero,Whittaker
214,860000,2017-07-29,Cormier,Jones
215,100000,2017-09-09,Nunes,Shevchenko
216,200000,2017-10-07,Ferguson,Lee
217,875000,2017-11-04,Bisping,St-Pierre
218,230000,2017-12-02,Aldo,Holloway
219,380000,2017-12-30,Holm,Justino
